ActivityDate,Step
2024/5/26 18:30,44
2024/5/26 18:50,29
2024/5/26 20:10,30
2024/5/26 21:00,21
2024/5/26 23:30,13
2024/5/26 23:59,51
2024/5/27 00:10,56
2024/5/27 00:20,17
2024/5/27 00:30,29
2024/5/27 01:40,23
2024/5/27 08:40,8
2024/5/27 09:20,19
2024/5/27 09:30,16
2024/5/27 09:40,54
2024/5/27 09:50,61
2024/5/27 10:00,80
2024/5/27 10:10,392
2024/5/27 10:20,481
2024/5/27 10:30,420
2024/5/27 10:50,650
2024/5/27 11:20,8
2024/5/27 11:50,224
2024/5/27 11:53,14
2024/5/27 12:00,16
2024/5/27 13:10,524
2024/5/27 13:20,167
2024/5/27 13:40,13
2024/5/27 14:10,42
2024/5/27 14:40,131
2024/5/27 14:50,662
2024/5/27 15:00,752
2024/5/27 15:10,207
2024/5/27 15:20,17
2024/5/27 15:40,11
2024/5/27 16:10,111
2024/5/27 16:20,11
2024/5/27 17:10,119
2024/5/27 18:10,12
2024/5/27 18:20,750
2024/5/27 18:30,737
2024/5/27 18:40,169
2024/5/27 18:50,1013
2024/5/27 19:00,407
2024/5/27 19:10,533
2024/5/27 19:20,278
2024/5/27 19:40,260
2024/5/27 19:50,441
2024/5/27 20:00,643
2024/5/27 20:10,30
2024/5/27 20:30,62
2024/5/27 21:00,17
2024/5/28 00:20,10
2024/5/28 00:40,22
2024/5/28 03:20,11
2024/5/28 04:40,8
2024/5/28 05:40,8
2024/5/28 07:40,13
2024/5/28 07:50,12
2024/5/28 08:10,42
2024/5/28 10:50,13
2024/5/28 10:53,22
2024/5/28 10:54,56
2024/5/28 10:57,22
2024/5/28 11:00,28
2024/5/28 11:00,25
2024/5/28 11:10,365
2024/5/28 11:20,34
2024/5/28 11:30,914
2024/5/28 11:40,524
2024/5/28 12:30,30
2024/5/28 12:50,16
2024/5/28 13:10,11
2024/5/28 13:20,10
2024/5/28 13:40,23
2024/5/28 14:20,10
2024/5/28 14:30,22
2024/5/28 15:00,104
2024/5/28 15:10,414
2024/5/28 15:20,85
2024/5/28 15:40,241
2024/5/28 15:50,589
2024/5/28 16:00,31
2024/5/28 16:30,156
2024/5/28 16:40,26
2024/5/28 17:10,29
2024/5/28 17:20,96
2024/5/28 17:30,34
2024/5/28 18:20,53
2024/5/28 18:40,96
2024/5/28 18:50,229
2024/5/28 19:00,211
2024/5/28 19:10,281
2024/5/28 19:20,360
2024/5/28 19:30,9
2024/5/28 19:40,281
2024/5/28 19:50,310
2024/5/28 20:00,564
2024/5/28 22:40,12
2024/5/28 23:30,25
2024/5/28 23:40,8
2024/5/28 23:59,8
