State,Duration,StartTime,EndTime
²L¯v,19.0 ,2024/6/1 02:55,2024/6/1 03:14
²`¯v,25.0 ,2024/6/1 03:14,2024/6/1 03:39
²L¯v,38.0 ,2024/6/1 03:39,2024/6/1 04:17
²L¯v,1.0 ,2024/6/1 04:17,2024/6/1 04:18
²L¯v,43.0 ,2024/6/1 04:18,2024/6/1 05:01
²L¯v,17.0 ,2024/6/1 05:01,2024/6/1 05:18
²L¯v,8.0 ,2024/6/1 05:18,2024/6/1 05:26
²`¯v,20.0 ,2024/6/1 05:26,2024/6/1 05:46
²L¯v,9.0 ,2024/6/1 05:46,2024/6/1 05:55
²L¯v,15.0 ,2024/6/1 05:55,2024/6/1 06:10
²L¯v,11.0 ,2024/6/1 06:10,2024/6/1 06:21
²L¯v,2.0 ,2024/6/1 06:21,2024/6/1 06:23
²L¯v,47.0 ,2024/6/1 06:23,2024/6/1 07:10
²L¯v,19.0 ,2024/6/1 07:10,2024/6/1 07:29
²L¯v,27.0 ,2024/6/1 07:29,2024/6/1 07:56
²L¯v,19.0 ,2024/6/1 07:56,2024/6/1 08:15
²L¯v,8.0 ,2024/6/1 08:15,2024/6/1 08:23
²L¯v,3.0 ,2024/6/1 08:23,2024/6/1 08:26
²L¯v,14.0 ,2024/6/1 08:26,2024/6/1 08:40
²L¯v,3.0 ,2024/6/1 08:40,2024/6/1 08:43
²L¯v,60.0 ,2024/6/1 08:43,2024/6/1 09:43
²L¯v,3.0 ,2024/6/1 09:43,2024/6/1 09:46
²L¯v,51.0 ,2024/6/1 09:46,2024/6/1 10:37
²L¯v,2.0 ,2024/6/1 10:37,2024/6/1 10:39
²L¯v,19.0 ,2024/6/1 10:39,2024/6/1 10:58
¿ô,245.0 ,2024/6/1 10:58,2024/6/1 15:03
¿ô,369.0 ,2024/6/1 15:03,2024/6/1 21:12
¿ô,336.0 ,2024/6/1 21:12,2024/6/2 02:48
²L¯v,9.0 ,2024/6/2 02:48,2024/6/2 02:57
²`¯v,37.0 ,2024/6/2 02:57,2024/6/2 03:34
¿ô,30.0 ,2024/6/2 03:34,2024/6/2 04:04
²L¯v,9.0 ,2024/6/2 04:04,2024/6/2 04:13
²L¯v,3.0 ,2024/6/2 04:13,2024/6/2 04:16
²L¯v,9.0 ,2024/6/2 04:16,2024/6/2 04:25
²L¯v,11.0 ,2024/6/2 04:25,2024/6/2 04:36
²L¯v,14.0 ,2024/6/2 04:36,2024/6/2 04:50
²L¯v,3.0 ,2024/6/2 04:50,2024/6/2 04:53
²L¯v,10.0 ,2024/6/2 04:53,2024/6/2 05:03
²L¯v,3.0 ,2024/6/2 05:03,2024/6/2 05:06
²L¯v,19.0 ,2024/6/2 05:06,2024/6/2 05:25
²L¯v,7.0 ,2024/6/2 05:25,2024/6/2 05:32
²L¯v,18.0 ,2024/6/2 05:32,2024/6/2 05:50
²L¯v,1.0 ,2024/6/2 05:50,2024/6/2 05:51
²L¯v,13.0 ,2024/6/2 05:51,2024/6/2 06:04
²L¯v,1.0 ,2024/6/2 06:04,2024/6/2 06:05
²L¯v,20.0 ,2024/6/2 06:05,2024/6/2 06:25
²`¯v,23.0 ,2024/6/2 06:25,2024/6/2 06:48
²L¯v,32.0 ,2024/6/2 06:48,2024/6/2 07:20
²L¯v,3.0 ,2024/6/2 07:20,2024/6/2 07:23
²L¯v,8.0 ,2024/6/2 07:23,2024/6/2 07:31
²L¯v,4.0 ,2024/6/2 07:31,2024/6/2 07:35
²L¯v,13.0 ,2024/6/2 07:35,2024/6/2 07:48
²L¯v,12.0 ,2024/6/2 07:48,2024/6/2 08:00
²L¯v,2.0 ,2024/6/2 08:00,2024/6/2 08:02
¿ô,109.0 ,2024/6/2 08:02,2024/6/2 09:51
¿ô,8.0 ,2024/6/2 09:51,2024/6/2 09:59
¿ô,19.0 ,2024/6/2 09:59,2024/6/2 10:18
¿ô,20.0 ,2024/6/2 10:18,2024/6/2 10:38
¿ô,708.0 ,2024/6/2 10:38,2024/6/2 22:26
¿ô,8.0 ,2024/6/2 22:26,2024/6/2 22:34
¿ô,25.0 ,2024/6/2 22:34,2024/6/2 22:59
¿ô,145.0 ,2024/6/2 22:59,2024/6/3 01:24
²L¯v,10.0 ,2024/6/3 01:24,2024/6/3 01:34
¿ô,14.0 ,2024/6/3 01:34,2024/6/3 01:48
²L¯v,35.0 ,2024/6/3 01:48,2024/6/3 02:23
²L¯v,8.0 ,2024/6/3 02:23,2024/6/3 02:31
²L¯v,8.0 ,2024/6/3 02:31,2024/6/3 02:39
²`¯v,20.0 ,2024/6/3 02:39,2024/6/3 02:59
²L¯v,10.0 ,2024/6/3 02:59,2024/6/3 03:09
¿ô,34.0 ,2024/6/3 03:09,2024/6/3 03:43
²L¯v,8.0 ,2024/6/3 03:43,2024/6/3 03:51
²L¯v,2.0 ,2024/6/3 03:51,2024/6/3 03:53
²L¯v,9.0 ,2024/6/3 03:53,2024/6/3 04:02
²`¯v,24.0 ,2024/6/3 04:02,2024/6/3 04:26
²L¯v,8.0 ,2024/6/3 04:26,2024/6/3 04:34
²L¯v,16.0 ,2024/6/3 04:34,2024/6/3 04:50
²L¯v,13.0 ,2024/6/3 04:50,2024/6/3 05:03
²L¯v,5.0 ,2024/6/3 05:03,2024/6/3 05:08
²L¯v,12.0 ,2024/6/3 05:08,2024/6/3 05:20
²L¯v,5.0 ,2024/6/3 05:20,2024/6/3 05:25
²L¯v,27.0 ,2024/6/3 05:25,2024/6/3 05:52
²L¯v,12.0 ,2024/6/3 05:52,2024/6/3 06:04
²L¯v,58.0 ,2024/6/3 06:04,2024/6/3 07:02
²L¯v,4.0 ,2024/6/3 07:02,2024/6/3 07:06
²L¯v,8.0 ,2024/6/3 07:06,2024/6/3 07:14
²L¯v,16.0 ,2024/6/3 07:14,2024/6/3 07:30
²L¯v,4.0 ,2024/6/3 07:30,2024/6/3 07:34
¿ô,13.0 ,2024/6/3 07:34,2024/6/3 07:47
²L¯v,15.0 ,2024/6/3 07:47,2024/6/3 08:02
²L¯v,15.0 ,2024/6/3 08:02,2024/6/3 08:17
²L¯v,44.0 ,2024/6/3 08:17,2024/6/3 09:01
²`¯v,23.0 ,2024/6/3 09:01,2024/6/3 09:24
²L¯v,15.0 ,2024/6/3 09:24,2024/6/3 09:39
²L¯v,6.0 ,2024/6/3 09:39,2024/6/3 09:45
²L¯v,17.0 ,2024/6/3 09:45,2024/6/3 10:02
²L¯v,2.0 ,2024/6/3 10:02,2024/6/3 10:04
²L¯v,26.0 ,2024/6/3 10:04,2024/6/3 10:30
¿ô,107.0 ,2024/6/3 10:30,2024/6/3 12:17
