State,Duration,StartTime,EndTime
²L¯v,12.0 ,2024/5/23 08:38,2024/5/23 08:50
²L¯v,9.0 ,2024/5/23 08:50,2024/5/23 08:59
²L¯v,1.0 ,2024/5/23 08:59,2024/5/23 09:00
²L¯v,18.0 ,2024/5/23 09:00,2024/5/23 09:18
²`¯v,26.0 ,2024/5/23 09:18,2024/5/23 09:44
²L¯v,20.0 ,2024/5/23 09:44,2024/5/23 10:04
²L¯v,1.0 ,2024/5/23 10:04,2024/5/23 10:05
²L¯v,35.0 ,2024/5/23 10:05,2024/5/23 10:40
¿ô,599.0 ,2024/5/23 10:40,2024/5/23 20:39
¿ô,26.0 ,2024/5/23 20:39,2024/5/23 21:05
¿ô,187.0 ,2024/5/23 21:05,2024/5/24 00:12
¿ô,10.0 ,2024/5/24 00:12,2024/5/24 00:22
¿ô,109.0 ,2024/5/24 00:22,2024/5/24 02:11
²L¯v,11.0 ,2024/5/24 02:11,2024/5/24 02:22
²L¯v,2.0 ,2024/5/24 02:22,2024/5/24 02:24
²L¯v,8.0 ,2024/5/24 02:24,2024/5/24 02:32
²L¯v,13.0 ,2024/5/24 02:32,2024/5/24 02:45
²L¯v,8.0 ,2024/5/24 02:45,2024/5/24 02:53
²L¯v,10.0 ,2024/5/24 02:53,2024/5/24 03:03
²L¯v,28.0 ,2024/5/24 03:03,2024/5/24 03:31
²`¯v,23.0 ,2024/5/24 03:31,2024/5/24 03:54
¿ô,33.0 ,2024/5/24 03:54,2024/5/24 04:27
²L¯v,8.0 ,2024/5/24 04:27,2024/5/24 04:35
²L¯v,7.0 ,2024/5/24 04:35,2024/5/24 04:42
²L¯v,41.0 ,2024/5/24 04:42,2024/5/24 05:23
²`¯v,21.0 ,2024/5/24 05:23,2024/5/24 05:44
²L¯v,27.0 ,2024/5/24 05:44,2024/5/24 06:11
²L¯v,8.0 ,2024/5/24 06:11,2024/5/24 06:19
²L¯v,73.0 ,2024/5/24 06:19,2024/5/24 07:32
²L¯v,13.0 ,2024/5/24 07:32,2024/5/24 07:45
²L¯v,8.0 ,2024/5/24 07:45,2024/5/24 07:53
²L¯v,7.0 ,2024/5/24 07:53,2024/5/24 08:00
²L¯v,40.0 ,2024/5/24 08:00,2024/5/24 08:40
¿ô,438.0 ,2024/5/24 08:40,2024/5/24 15:58
¿ô,8.0 ,2024/5/24 15:58,2024/5/24 16:06
¿ô,3.0 ,2024/5/24 16:06,2024/5/24 16:09
¿ô,300.0 ,2024/5/24 16:09,2024/5/24 21:09
¿ô,8.0 ,2024/5/24 21:09,2024/5/24 21:17
¿ô,10.0 ,2024/5/24 21:17,2024/5/24 21:27
¿ô,3.0 ,2024/5/24 21:27,2024/5/24 21:30
¿ô,55.0 ,2024/5/24 21:30,2024/5/24 22:25
¿ô,39.0 ,2024/5/24 22:25,2024/5/24 23:04
¿ô,14.0 ,2024/5/24 23:04,2024/5/24 23:18
¿ô,9.0 ,2024/5/24 23:18,2024/5/24 23:27
¿ô,47.0 ,2024/5/24 23:27,2024/5/25 00:14
¿ô,105.0 ,2024/5/25 00:14,2024/5/25 01:59
²L¯v,11.0 ,2024/5/25 01:59,2024/5/25 02:10
²L¯v,1.0 ,2024/5/25 02:10,2024/5/25 02:11
